"ranking","country","regional_indicator","happiness_score","gdp","support","life_exp","freedom","generosity","corruption","year","regime_category","monarchy","democracy","presidential","colony","communist","sp_democracy","suffrage","electoral_category","sp_electoral","fair_election","alternation","region","country_or_territory","status","political_rights","civil_liberties"
1,"Switzerland","Western Europe",7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
2,"Iceland","Western Europe",7.561,7.70416,1,73,0.93884,0.54819,0.74371,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
3,"Denmark","Western Europe",7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
4,"Norway","Western Europe",7.522,8.631,0.94917,71,1,0.43598,0.3386,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
5,"Canada","North America and ANZ",7.427,7.84595,0.94322,71,0.94511,0.5756,0.40285,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
6,"Finland","Western Europe",7.406,7.63273,0.94012,71,0.95813,0.29339,0.25039,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
7,"Netherlands","Western Europe",7.378,7.8646,0.91295,71,0.91942,0.59821,0.42357,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
8,"Sweden","Western Europe",7.364,7.87799,0.9193,72,0.98517,0.45562,0.2056,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
9,"New Zealand","North America and ANZ",7.286,7.39573,0.94112,72,0.95468,0.59683,0.22231,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
10,"Australia","North America and ANZ",7.284,7.88909,0.93368,72,0.97239,0.54734,0.35431,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","F",1,1
